original_name,new_location,document_date,how_date_was_determined,date_confidence,note
Follow-Up-Nov-4-2021Read Receipt for VN-012230.pdf,08 - Compliance & Enforcement/11-04-2021 - Follow-Up-Nov-4-2021Read Receipt for VN-012230.pdf,11-04-2021,email-sent-date (newest in chain),high,
GW Public Notice Document.pdf,02 - NPDES Permits & Permit Issuance/07-15-2016 - GW Public Notice Document (copy 2).pdf,07-15-2016,letterhead-date,high,"duplicate copy - kept both, suffixed"
Generators Cert.pdf,05 - Biosolids & Land Application/Generators Cert.pdf,,none,none,
HAVS PFAS Survey.pdf,04 - PFAS Monitoring/06-08-2018 - HAVS PFAS Survey.pdf,06-08-2018,first-date-on-page1,medium,
HML Fall Biosolids.pdf,05 - Biosolids & Land Application/10-01-2021 - HML Fall Biosolids.pdf,10-01-2021,letterhead-date,high,
HML Spring.pdf,06 - Lab Results & Sampling (general)/03-04-2021 - HML Spring.pdf,03-04-2021,first-date-on-page1,medium,
HN8-AEB3-S8NKF V1.pdf,11 - Form Submissions (online portal)/10-13-2017 - HN8-AEB3-S8NKF V1.pdf,10-13-2017,issue-label:Date Submitted,high,
HNB-J69X-W1FHA V1.pdf,11 - Form Submissions (online portal)/03-28-2018 - HNB-J69X-W1FHA V1.pdf,03-28-2018,portal-signature-date,high,
HNF-P7H3-DCN87 V1.pdf,11 - Form Submissions (online portal)/07-30-2018 - HNF-P7H3-DCN87 V1.pdf,07-30-2018,portal-signature-date,high,
HNH-M790-67ZPK V1.pdf,11 - Form Submissions (online portal)/10-29-2018 - HNH-M790-67ZPK V1.pdf,10-29-2018,portal-signature-date,high,
HNH-YJTD-MY6A8 V1.pdf,11 - Form Submissions (online portal)/10-30-2018 - HNH-YJTD-MY6A8 V1.pdf,10-30-2018,portal-signature-date,high,
HNJ-P0ZX-8AVDS V1.pdf,11 - Form Submissions (online portal)/11-29-2018 - HNJ-P0ZX-8AVDS V1.pdf,11-29-2018,portal-signature-date,high,
HNJ-P0ZX-8AVDS_Compatibility.pdf,11 - Form Submissions (online portal)/11-29-2018 - HNJ-P0ZX-8AVDS_Compatibility.pdf,11-29-2018,issue-label:Date Submitted,high,
HNJ-P0ZX-8AVDS_V1.pdf,11 - Form Submissions (online portal)/11-29-2018 - HNJ-P0ZX-8AVDS_V1.pdf,11-29-2018,portal-signature-date,high,
HNN-0QFE-AG22Q V1.pdf,11 - Form Submissions (online portal)/03-20-2019 - HNN-0QFE-AG22Q V1.pdf,03-20-2019,portal-signature-date,high,
HNQ-VZP8-TWNRX V1.pdf,11 - Form Submissions (online portal)/06-28-2019 - HNQ-VZP8-TWNRX V1.pdf,06-28-2019,portal-signature-date,high,
HNQ-VZP8-TWNRX_Compatibility.pdf,11 - Form Submissions (online portal)/06-04-2019 - HNQ-VZP8-TWNRX_Compatibility.pdf,06-04-2019,date-label:Date:,medium,
HNT-5SPH-XVKKZ V1.pdf,11 - Form Submissions (online portal)/10-28-2019 - HNT-5SPH-XVKKZ V1.pdf,10-28-2019,portal-signature-date,high,
HNT-5SPH-XVKKZ V2.pdf,11 - Form Submissions (online portal)/01-28-2021 - HNT-5SPH-XVKKZ V2.pdf,01-28-2021,portal-signature-date,high,
HNV-XK97-EV0GR V1.pdf,11 - Form Submissions (online portal)/12-18-2019 - HNV-XK97-EV0GR V1.pdf,12-18-2019,portal-signature-date,high,
HNX-E8Q7-TQ4BF V1.pdf,11 - Form Submissions (online portal)/02-11-2020 - HNX-E8Q7-TQ4BF V1.pdf,02-11-2020,portal-signature-date,high,
HNY-0A3C-HVRY7 V1.pdf,11 - Form Submissions (online portal)/03-24-2020 - HNY-0A3C-HVRY7 V1.pdf,03-24-2020,portal-signature-date,high,
HP1-NF8B-MDEG6 V1.pdf,11 - Form Submissions (online portal)/07-31-2020 - HP1-NF8B-MDEG6 V1.pdf,07-31-2020,portal-signature-date,high,
HP3-HWDR-V8Y73 V1.pdf,11 - Form Submissions (online portal)/10-30-2020 - HP3-HWDR-V8Y73 V1.pdf,10-30-2020,portal-signature-date,high,
HP5-16EW-CW2T4 V1.pdf,11 - Form Submissions (online portal)/12-15-2020 - HP5-16EW-CW2T4 V1.pdf,12-15-2020,portal-signature-date,high,
HP5-16GH-VNKPV V1.pdf,11 - Form Submissions (online portal)/12-15-2020 - HP5-16GH-VNKPV V1.pdf,12-15-2020,portal-signature-date,high,
HP6-YDST-46BJ3 V1.pdf,11 - Form Submissions (online portal)/03-26-2021 - HP6-YDST-46BJ3 V1.pdf,03-26-2021,portal-signature-date,high,
HPB-KP8T-GKSNS V1.pdf,11 - Form Submissions (online portal)/09-09-2021 - HPB-KP8T-GKSNS V1.pdf,09-09-2021,portal-signature-date,high,
HPC-F6W0-X1G7P V1.pdf,11 - Form Submissions (online portal)/10-14-2021 - HPC-F6W0-X1G7P V1.pdf,10-14-2021,portal-signature-date,high,
HPC-K20Z-68T3J V1.pdf,11 - Form Submissions (online portal)/10-28-2021 - HPC-K20Z-68T3J V1.pdf,10-28-2021,portal-signature-date,high,
HPC-K20Z-68T3J V2.pdf,11 - Form Submissions (online portal)/06-23-2022 - HPC-K20Z-68T3J V2.pdf,06-23-2022,portal-signature-date,high,
HPC-RJ1M-FCGM7 V1.pdf,11 - Form Submissions (online portal)/10-26-2021 - HPC-RJ1M-FCGM7 V1.pdf,10-26-2021,portal-signature-date,high,
HPC-RJ1M-FCGM7 V2.pdf,11 - Form Submissions (online portal)/12-02-2021 - HPC-RJ1M-FCGM7 V2.pdf,12-02-2021,portal-signature-date,high,
HPD-MWSX-Y48BC V1.pdf,11 - Form Submissions (online portal)/12-01-2021 - HPD-MWSX-Y48BC V1.pdf,12-01-2021,portal-signature-date,high,
HPD-MWSX-Y48BC V2.pdf,11 - Form Submissions (online portal)/12-02-2021 - HPD-MWSX-Y48BC V2.pdf,12-02-2021,portal-signature-date,high,
HPG-1ZNB-Y56ZQ V1.pdf,11 - Form Submissions (online portal)/03-24-2022 - HPG-1ZNB-Y56ZQ V1.pdf,03-24-2022,portal-signature-date,high,
HPG-1ZNB-Y56ZQ v2.pdf,11 - Form Submissions (online portal)/01-26-2023 - HPG-1ZNB-Y56ZQ v2.pdf,01-26-2023,portal-signature-date,high,
HPG-1ZNB-Y56ZQ v3.pdf,11 - Form Submissions (online portal)/04-20-2023 - HPG-1ZNB-Y56ZQ v3.pdf,04-20-2023,portal-signature-date,high,
HPG-CXVZ-DDE1A V1.pdf,11 - Form Submissions (online portal)/03-23-2022 - HPG-CXVZ-DDE1A V1.pdf,03-23-2022,issue-label:Report                ,high,
HPJ-N5BJ-2CYH5 V1.pdf,11 - Form Submissions (online portal)/06-23-2022 - HPJ-N5BJ-2CYH5 V1.pdf,06-23-2022,portal-signature-date,high,
HPN-5DCS-H4WTR V1.pdf,11 - Form Submissions (online portal)/10-28-2022 - HPN-5DCS-H4WTR V1.pdf,10-28-2022,portal-signature-date,high,
HPN-5DCS-H4WTR v2.pdf,11 - Form Submissions (online portal)/01-26-2023 - HPN-5DCS-H4WTR v2.pdf,01-26-2023,portal-signature-date,high,
HPP-2914-8S45C V1.pdf,11 - Form Submissions (online portal)/11-09-2022 - HPP-2914-8S45C V1.pdf,11-09-2022,portal-signature-date,high,
HPR-V2MX-EVFMF v1.pdf,11 - Form Submissions (online portal)/03-02-2023 - HPR-V2MX-EVFMF v1.pdf,03-02-2023,portal-signature-date,high,
HPS-A3KN-2FH30 v1.pdf,11 - Form Submissions (online portal)/04-10-2023 - HPS-A3KN-2FH30 v1.pdf,04-10-2023,portal-signature-date,high,
HPS-A3KN-2FH30 v2.pdf,11 - Form Submissions (online portal)/03-14-2024 - HPS-A3KN-2FH30 v2.pdf,03-14-2024,portal-signature-date,high,
HPS-A3KN-2FH30 v3.pdf,11 - Form Submissions (online portal)/06-14-2024 - HPS-A3KN-2FH30 v3.pdf,06-14-2024,portal-signature-date,high,
HPS-NR5G-MY95T v2.pdf,11 - Form Submissions (online portal)/07-18-2023 - HPS-NR5G-MY95T v2.pdf,07-18-2023,portal-signature-date,high,
HPV-1RCJ-X06GE v1.pdf,11 - Form Submissions (online portal)/05-31-2023 - HPV-1RCJ-X06GE v1.pdf,05-31-2023,portal-signature-date,high,
HPY-PZSD-5P4KK v1.pdf,11 - Form Submissions (online portal)/10-30-2023 - HPY-PZSD-5P4KK v1.pdf,10-30-2023,portal-signature-date,high,
HQ0-715X-88YTN v1.pdf,11 - Form Submissions (online portal)/12-27-2023 - HQ0-715X-88YTN v1.pdf,12-27-2023,portal-signature-date,high,
HQ1-1PD1-TAM4K v1.pdf,11 - Form Submissions (online portal)/02-28-2024 - HQ1-1PD1-TAM4K v1.pdf,02-28-2024,portal-signature-date,high,
HQ2-3J17-F59S4 v1.pdf,11 - Form Submissions (online portal)/03-14-2024 - HQ2-3J17-F59S4 v1.pdf,03-14-2024,portal-signature-date,high,
HQ2-3J17-F59S4 v2.pdf,11 - Form Submissions (online portal)/06-14-2024 - HQ2-3J17-F59S4 v2.pdf,06-14-2024,portal-signature-date,high,
HQ4-SQ4J-259F6 v1.pdf,11 - Form Submissions (online portal)/07-01-2024 - HQ4-SQ4J-259F6 v1.pdf,07-01-2024,portal-signature-date,high,
HQ4-SQ4J-259F6 v2.pdf,11 - Form Submissions (online portal)/07-02-2024 - HQ4-SQ4J-259F6 v2.pdf,07-02-2024,portal-signature-date,high,
HQ4-SQ4J-259F6 v3.pdf,11 - Form Submissions (online portal)/07-10-2024 - HQ4-SQ4J-259F6 v3.pdf,07-10-2024,portal-signature-date,high,
HQ6-MRKV-Q3MJJ v1.pdf,11 - Form Submissions (online portal)/09-14-2024 - HQ6-MRKV-Q3MJJ v1.pdf,09-14-2024,portal-signature-date,high,
HQ6-MRKV-Q3MJJ_v2.pdf,11 - Form Submissions (online portal)/03-25-2026 - HQ6-MRKV-Q3MJJ_v2.pdf,03-25-2026,portal-signature-date,high,
HQ7-24YS-A06A1 v1.pdf,11 - Form Submissions (online portal)/10-01-2024 - HQ7-24YS-A06A1 v1.pdf,10-01-2024,portal-signature-date,high,
HQ7-KAAW-2S9Y5 v1.pdf,11 - Form Submissions (online portal)/10-30-2024 - HQ7-KAAW-2S9Y5 v1.pdf,10-30-2024,portal-signature-date,high,
HQA-1Y8Z-BBRZS_v1.pdf,11 - Form Submissions (online portal)/01-31-2025 - HQA-1Y8Z-BBRZS_v1.pdf,01-31-2025,portal-signature-date,high,
HQB-6T2F-9M76H_v1 (1).pdf,11 - Form Submissions (online portal)/03-19-2025 - HQB-6T2F-9M76H_v1.pdf,03-19-2025,portal-signature-date,high,
HQB-6T2F-9M76H_v1.pdf,11 - Form Submissions (online portal)/03-19-2025 - HQB-6T2F-9M76H_v1 (2).pdf,03-19-2025,portal-signature-date,high,"name clash - kept both, suffixed"
HQB-BNKM-1SC3Q_v1.pdf,11 - Form Submissions (online portal)/03-27-2025 - HQB-BNKM-1SC3Q_v1.pdf,03-27-2025,portal-signature-date,high,
HQB-BNKM-1SC3Q_v2.pdf,11 - Form Submissions (online portal)/05-08-2025 - HQB-BNKM-1SC3Q_v2.pdf,05-08-2025,portal-signature-date,high,
HQD-8ZEE-2KJD5_v1.pdf,11 - Form Submissions (online portal)/06-11-2025 - HQD-8ZEE-2KJD5_v1.pdf,06-11-2025,portal-signature-date,high,
HQD-8ZEE-2KJD5_v2.pdf,11 - Form Submissions (online portal)/03-25-2026 - HQD-8ZEE-2KJD5_v2.pdf,03-25-2026,portal-signature-date,high,
HQD-91C4-TNX99_v1.pdf,11 - Form Submissions (online portal)/06-11-2025 - HQD-91C4-TNX99_v1.pdf,06-11-2025,portal-signature-date,high,
HQE-GX1V-TH10E_v1.pdf,11 - Form Submissions (online portal)/08-01-2025 - HQE-GX1V-TH10E_v1.pdf,08-01-2025,portal-signature-date,high,
HQG-GKRH-8B37J_v1.pdf,11 - Form Submissions (online portal)/10-21-2025 - HQG-GKRH-8B37J_v1.pdf,10-21-2025,portal-signature-date,high,
HQG-GKRH-8B37J_v2.pdf,11 - Form Submissions (online portal)/10-24-2025 - HQG-GKRH-8B37J_v2.pdf,10-24-2025,portal-signature-date,high,
HQG-GM42-A2DBC_v1.pdf,11 - Form Submissions (online portal)/10-21-2025 - HQG-GM42-A2DBC_v1.pdf,10-21-2025,portal-signature-date,high,
HQG-GN3K-JNK5K_v1.pdf,11 - Form Submissions (online portal)/10-21-2025 - HQG-GN3K-JNK5K_v1.pdf,10-21-2025,portal-signature-date,high,
HQG-GN3K-JNK5K_v2.pdf,11 - Form Submissions (online portal)/10-21-2025 - HQG-GN3K-JNK5K_v2.pdf,10-21-2025,portal-signature-date,high,
HQG-QQ9K-KSZ7V_v1.pdf,11 - Form Submissions (online portal)/10-30-2025 - HQG-QQ9K-KSZ7V_v1.pdf,10-30-2025,portal-signature-date,high,
HQK-A647-67DN7_v1.pdf,11 - Form Submissions (online portal)/02-12-2026 - HQK-A647-67DN7_v1.pdf,02-12-2026,portal-signature-date,high,
HQM-0Z2W-CZ7GW_v1.pdf,11 - Form Submissions (online portal)/03-13-2026 - HQM-0Z2W-CZ7GW_v1.pdf,03-13-2026,portal-signature-date,high,
HQM-3D1M-M17FW_v1.pdf,11 - Form Submissions (online portal)/03-26-2026 - HQM-3D1M-M17FW_v1.pdf,03-26-2026,portal-signature-date,high,
HQM-5QVG-V9A98_v1.pdf,11 - Form Submissions (online portal)/03-25-2026 - HQM-5QVG-V9A98_v1.pdf,03-25-2026,portal-signature-date,high,
HQM-9QCZ-PE5QR_v1.pdf,11 - Form Submissions (online portal)/03-24-2026 - HQM-9QCZ-PE5QR_v1.pdf,03-24-2026,portal-signature-date,high,
HQM-9QCZ-PE5QR_v2.pdf,11 - Form Submissions (online portal)/03-26-2026 - HQM-9QCZ-PE5QR_v2.pdf,03-26-2026,portal-signature-date,high,
HQN-7PHN-WHK7P_v1-Deitlin-Admission.pdf,11 - Form Submissions (online portal)/05-01-2026 - HQN-7PHN-WHK7P_v1-Deitlin-Admission.pdf,05-01-2026,portal-signature-date,high,
History - Wexford_Cadillac.pdf,12 - Wexford Landfill & Leachate/08-13-2026 - History - Wexford_Cadillac.pdf,08-13-2026,letterhead-date,high,
IPP 2022 News.pdf,03 - IPP (Industrial Pretreatment)/03-21-2023 - IPP 2022 News.pdf,03-21-2023,letterhead-date,high,
IPP News Affidavit 2023.pdf,03 - IPP (Industrial Pretreatment)/03-22-2023 - IPP News Affidavit 2023.pdf,03-22-2023,letterhead-date,high,
IPP Profile.pdf,03 - IPP (Industrial Pretreatment)/04-01-1985 - IPP Profile.pdf,04-01-1985,most-frequent-in-doc,low,
IU Form 1.pdf,03 - IPP (Industrial Pretreatment)/08-15-2008 - IU Form 1.pdf,08-15-2008,first-date-on-page1,medium,
IU Form 2.pdf,03 - IPP (Industrial Pretreatment)/08-15-2008 - IU Form 2.pdf,08-15-2008,first-date-on-page1,medium,
IU Permit notes_COPY.pdf,02 - NPDES Permits & Permit Issuance/10-09-2024 - IU Permit notes_COPY.pdf,10-09-2024,email-sent-date (newest in chain),high,
Interview Jill Notes.pdf,07 - Inspections & Evaluations/Interview Jill Notes.pdf,,none,none,
Interview Julie Notes.pdf,07 - Inspections & Evaluations/Interview Julie Notes.pdf,,none,none,
J American Water Resour Assoc - 2009 - Guo - Occurrence of Primidone  Carbamazepine  Caffeine  and Precursors for.pdf,19 - Research & Technical Literature/12-06-2007 - J American Water Resour Assoc - 2009 - Guo - Occurrence of Primidone Carbamazepine Caffeine and Precursors for.pdf,12-06-2007,transmittal-letter-date,medium,
J17646-1 UDS Level 2 Report Final Report (Leachate) - Copy.pdf,12 - Wexford Landfill & Leachate/10-29-2018 - J17646-1 UDS Level 2 Report Final Report (Leachate) - Copy.pdf,10-29-2018,issue-label:Authorized for release,high,
J17646-1 UDS Level 2 Report Final Report (Leachate).pdf,12 - Wexford Landfill & Leachate/10-29-2018 - J17646-1 UDS Level 2 Report Final Report (Leachate).pdf,10-29-2018,issue-label:Authorized for release,high,
J17646-1 UDS Level 2 Report Final Report.pdf,12 - Wexford Landfill & Leachate/10-29-2018 - J17646-1 UDS Level 2 Report Final Report.pdf,10-29-2018,issue-label:Authorized for release,high,
J17646-1_Leachate_Report_Compatibility - Copy.pdf,12 - Wexford Landfill & Leachate/10-29-2018 - J17646-1_Leachate_Report_Compatibility - Copy.pdf,10-29-2018,issue-label:Authorized for release,high,
J17646-1_Leachate_Report_Compatibility.pdf,12 - Wexford Landfill & Leachate/10-29-2018 - J17646-1_Leachate_Report_Compatibility.pdf,10-29-2018,issue-label:Authorized for release,high,
J17993-1 UDS Level 2 Report Final Report - Copy.pdf,04 - PFAS Monitoring/12-10-2018 - J17993-1 UDS Level 2 Report Final Report - Copy.pdf,12-10-2018,issue-label:Authorized for release,high,
J17993-1 UDS Level 2 Report Final Report.pdf,04 - PFAS Monitoring/12-10-2018 - J17993-1 UDS Level 2 Report Final Report.pdf,12-10-2018,issue-label:Authorized for release,high,
J18036-1 UDS Level 2 Report Final Report - Copy.pdf,04 - PFAS Monitoring/12-10-2018 - J18036-1 UDS Level 2 Report Final Report - Copy.pdf,12-10-2018,issue-label:Authorized for release,high,
J18036-1 UDS Level 2 Report Final Report.pdf,04 - PFAS Monitoring/12-10-2018 - J18036-1 UDS Level 2 Report Final Report.pdf,12-10-2018,issue-label:Authorized for release,high,
J19915-1 UDS Level 2 Report Final Report - Copy.pdf,04 - PFAS Monitoring/06-25-2019 - J19915-1 UDS Level 2 Report Final Report - Copy.pdf,06-25-2019,issue-label:Authorized for release,high,
J19915-1 UDS Level 2 Report Final Report.pdf,04 - PFAS Monitoring/06-25-2019 - J19915-1 UDS Level 2 Report Final Report.pdf,06-25-2019,issue-label:Authorized for release,high,
June 2026 DMR.pdf,01 - DMRs (Discharge Monitoring Reports)/06-30-2026 - June 2026 DMR.pdf,06-30-2026,DMR period end date,medium,
Lab Data Fall 2020.pdf,05 - Biosolids & Land Application/10-01-2020 - Lab Data Fall 2020.pdf,10-01-2020,filename-season (OCR unreliable),medium,
Lab&Hauling Data Spring 2023.pdf,05 - Biosolids & Land Application/04-01-2023 - Lab&Hauling Data Spring 2023.pdf,04-01-2023,filename-season (OCR unreliable),medium,
Life Smiles Dentistry.pdf,03 - IPP (Industrial Pretreatment)/07-14-2017 - Life Smiles Dentistry.pdf,07-14-2017,letterhead-date,high,
LocalLimitsReview_Cadillac WWTP_4-19-2022.pdf,03 - IPP (Industrial Pretreatment)/04-19-2022 - LocalLimitsReview_Cadillac WWTP_4-19-2022.pdf,04-19-2022,letterhead-date,high,
MI0020257 PFAS-IPP Letter 2-20-2018.pdf,04 - PFAS Monitoring/02-20-2018 - MI0020257 PFAS-IPP Letter 2-20-2018.pdf,02-20-2018,letterhead-date,high,
MI0020257_2026-01-01_to_2026-01-31_2_DMR.pdf,01 - DMRs (Discharge Monitoring Reports)/03-25-2026 - MI0020257_2026-01-01_to_2026-01-31_2_DMR.pdf,03-25-2026,portal-signature-date,high,
MI0020257_2026-01-01_to_2026-01-31_DMR.pdf,01 - DMRs (Discharge Monitoring Reports)/02-13-2026 - MI0020257_2026-01-01_to_2026-01-31_DMR.pdf,02-13-2026,portal-signature-date,high,
MIsir2004-5175_report.pdf,"13 - Groundwater, Wells & Plett Rd/01-01-2004 - MIsir2004-5175_report.pdf",01-01-2004,filename-year,low,
Mangement Practices.pdf,05 - Biosolids & Land Application/Mangement Practices.pdf,,none,none,
March 2026 DMR (1).pdf,01 - DMRs (Discharge Monitoring Reports)/03-31-2026 - March 2026 DMR.pdf,03-31-2026,DMR period end date,medium,
March 2026 DMR.pdf,01 - DMRs (Discharge Monitoring Reports)/03-31-2026 - March 2026 DMR (copy 2).pdf,03-31-2026,DMR period end date,medium,"duplicate copy - kept both, suffixed"
May 2026 DMR.pdf,01 - DMRs (Discharge Monitoring Reports)/05-31-2026 - May 2026 DMR.pdf,05-31-2026,DMR period end date,medium,
My Communtiy Dental Center.pdf,03 - IPP (Industrial Pretreatment)/07-14-2017 - My Communtiy Dental Center.pdf,07-14-2017,letterhead-date,high,
N3862_Full Compliance Evaluation_09-16-2014.pdf,12 - Wexford Landfill & Leachate/09-16-2014 - N3862_Full Compliance Evaluation_09-16-2014 (copy 2).pdf,09-16-2014,filename+confirmed-in-doc,high,"duplicate copy - kept both, suffixed"
N3862_Full Compliance Evaluation_11-06-2017.pdf,12 - Wexford Landfill & Leachate/11-06-2017 - N3862_Full Compliance Evaluation_11-06-2017 (copy 2).pdf,11-06-2017,filename+confirmed-in-doc,high,"duplicate copy - kept both, suffixed"
N3862_Full Compliance Evaluation_11-18-2015.pdf,12 - Wexford Landfill & Leachate/11-18-2015 - N3862_Full Compliance Evaluation_11-18-2015 (copy 2).pdf,11-18-2015,filename+confirmed-in-doc,high,"duplicate copy - kept both, suffixed"
N3862_On-Site Inspection_09-16-2014.pdf,12 - Wexford Landfill & Leachate/09-16-2014 - N3862_On-Site Inspection_09-16-2014 (copy 2).pdf,09-16-2014,letterhead-date,high,"duplicate copy - kept both, suffixed"
N3862_On-Site Inspection_11-06-2017.pdf,12 - Wexford Landfill & Leachate/11-06-2017 - N3862_On-Site Inspection_11-06-2017 (copy 2).pdf,11-06-2017,letterhead-date,high,"duplicate copy - kept both, suffixed"
N3862_On-Site Inspection_11-18-2015.pdf,12 - Wexford Landfill & Leachate/11-18-2015 - N3862_On-Site Inspection_11-18-2015 (copy 2).pdf,11-18-2015,letterhead-date,high,"duplicate copy - kept both, suffixed"
NEW SW COC.pdf,12 - Wexford Landfill & Leachate/08-27-2010 - NEW SW COC (copy 2).pdf,08-27-2010,issue-label:issued,high,"duplicate copy - kept both, suffixed"
NEW_ACCOUNT_DOCS.pdf,20 - Personal & Non-Case Records/12-20-2021 - NEW_ACCOUNT_DOCS.pdf,12-20-2021,transmittal-letter-date,medium,
NPDES Permit-DRAFT_Cadillac WWTP.pdf,04 - PFAS Monitoring/04-03-2017 - NPDES Permit-DRAFT_Cadillac WWTP.pdf,04-03-2017,letterhead-date,high,
Northern Quality Dental.pdf,03 - IPP (Industrial Pretreatment)/07-14-2017 - Northern Quality Dental.pdf,07-14-2017,letterhead-date,high,
Occurrence-and-Suitability-of-Sucralose-as-Indicator-Compound.2011.Oppenheimer-et-al.pdf,19 - Research & Technical Literature/02-23-2011 - Occurrence-and-Suitability-of-Sucralose-as-Indicator-Compound.2011.Oppenheimer-et-al.pdf,02-23-2011,letterhead-date,high,
"PAGE 16 - Simulation of ground water flow and Areas contributing ground water to production wells, Cadillac Mi204958.pdf","13 - Groundwater, Wells & Plett Rd/01-01-2004 - PAGE 16 - Simulation of ground water flow and Areas contributing ground water to production wells, Cadillac Mi204958.pdf",01-01-2004,identical-copy-of: MIsir2004-5175_report.pdf,high,
PFAS Testing Results Summary (Updated 3-19-25-.pdf,04 - PFAS Monitoring/04-01-2025 - PFAS Testing Results Summary (Updated 3-19-25.pdf,04-01-2025,month-year-in-doc,low,
PFAS_Impact_Dashboard.pdf,04 - PFAS Monitoring/09-10-2025 - PFAS_Impact_Dashboard.pdf,09-10-2025,sample-label:collected:,medium,
PN certification form-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/07-12-2016 - PN certification form-Wexford Landfill (copy 2).pdf,07-12-2016,letterhead-date,high,"duplicate copy - kept both, suffixed"
Phone Log 10-24-2019.pdf,09 - Correspondence & Letters/10-24-2019 - Phone Log 10-24-2019.pdf,10-24-2019,filename-date,medium,
Plant Brochure.pdf,10 - Process & Site Documents/Plant Brochure.pdf,,none,none,
Pre-Inspection Report.pdf,07 - Inspections & Evaluations/09-30-2013 - Pre-Inspection Report.pdf,09-30-2013,transmittal-letter-date,medium,
Pre-Public Note Ltr_Cadillac WWTP.msg,02 - NPDES Permits & Permit Issuance/03-14-2019 - Pre-Public Note Ltr_Cadillac WWTP.msg,03-14-2019,letterhead-date,high,
Process Flow Diagram.pdf,10 - Process & Site Documents/11-24-2009 - Process Flow Diagram.pdf,11-24-2009,first-date-on-page1,medium,
Public Notice Document-DRAFT_Cadillac WWTP.pdf,02 - NPDES Permits & Permit Issuance/Public Notice Document-DRAFT_Cadillac WWTP (copy 2).pdf,,none,none,"duplicate copy - kept both, suffixed"
Public Notice Notification_Cadillac WWTP.msg,02 - NPDES Permits & Permit Issuance/06-06-2019 - Public Notice Notification_Cadillac WWTP.msg,06-06-2019,msg-sent-date,medium,
Public Notice Verification_Cadillac WWTP.msg,02 - NPDES Permits & Permit Issuance/06-06-2019 - Public Notice Verification_Cadillac WWTP.msg,06-06-2019,msg-sent-date,medium,
Public Notice of IPP Violation 2023.pdf,03 - IPP (Industrial Pretreatment)/01-01-2023 - Public Notice of IPP Violation 2023.pdf,01-01-2023,filename-year,low,
Public Notice of IPP Violation 2024.pdf,03 - IPP (Industrial Pretreatment)/01-01-2024 - Public Notice of IPP Violation 2024.pdf,01-01-2024,filename-year,low,
RECONSTRUCTED - J19915-1 UDS Level 2 Report Final Report.pdf,04 - PFAS Monitoring/06-25-2019 - RECONSTRUCTED - J19915-1 UDS Level 2 Report Final Report.pdf,06-25-2019,issue-label:Authorized for release,high,
RE_ PFAS.pdf,04 - PFAS Monitoring/04-19-2018 - RE_ PFAS.pdf,04-19-2018,email-sent-date (newest in chain),high,
RMP-Class A EQ-DEQ letter.pdf,05 - Biosolids & Land Application/07-26-2004 - RMP-Class A EQ-DEQ letter.pdf,07-26-2004,letterhead-date,high,
Rapid direct-injection LC-MS-MS analysis of wastewater-effluent indicators.pdf,19 - Research & Technical Literature/05-07-2015 - Rapid direct-injection LC-MS-MS analysis of wastewater-effluent indicators.pdf,05-07-2015,letterhead-date,high,
Recent Advances in the Use of water-09-00143-with-cover (4).pdf,19 - Research & Technical Literature/07-15-2016 - Recent Advances in the Use of water-09-00143-with-cover.pdf,07-15-2016,letterhead-date,high,
Rule 2210 Permit Template draft-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/03-16-2016 - Rule 2210 Permit Template draft-Wexford Landfill (copy 2).pdf,03-16-2016,letterhead-date,high,"duplicate copy - kept both, suffixed"
Rule 2210 Permit Template-Wexford Landfill.pdf,12 - Wexford Landfill & Leachate/09-06-2016 - Rule 2210 Permit Template-Wexford Landfill (copy 2).pdf,09-06-2016,issue-label:Issued,high,"duplicate copy - kept both, suffixed"
S1_2010-2016_Cadillac_WWTP_District_Compliance_File.pdf,08 - Compliance & Enforcement/01-01-2010 - S1_2010-2016_Cadillac_WWTP_District_Compliance_File.pdf,01-01-2010,filename-year (OCR unreliable),medium,
S1_Key_Pages_Exhibit_Extract.pdf,12 - Wexford Landfill & Leachate/01-12-2016 - S1_Key_Pages_Exhibit_Extract.pdf,01-12-2016,letterhead-date,high,
S2_DMR_Jan2016_V1.pdf,01 - DMRs (Discharge Monitoring Reports)/01-31-2016 - S2_DMR_Jan2016_V1.pdf,01-31-2016,DMR period end date,medium,
S3_DMR_Jan2026_Version1_certified_2026-02-13.pdf,01 - DMRs (Discharge Monitoring Reports)/02-13-2026 - S3_DMR_Jan2026_Version1_certified_2026-02-13.pdf,02-13-2026,portal-signature-date,high,
S4_DMR_Jan2026_Version2_certified_2026-03-25.pdf,01 - DMRs (Discharge Monitoring Reports)/03-25-2026 - S4_DMR_Jan2026_Version2_certified_2026-03-25.pdf,03-25-2026,portal-signature-date,high,
SOURCE_INDEX_AND_LINKS.md,12 - Wexford Landfill & Leachate/08-08-2026 - SOURCE_INDEX_AND_LINKS.md,08-08-2026,latest-date-in-index,medium,
SW COC Issued Letter.pdf,12 - Wexford Landfill & Leachate/06-28-2012 - SW COC Issued Letter (copy 2).pdf,06-28-2012,letterhead-date,high,"duplicate copy - kept both, suffixed"
Site Info.pdf,05 - Biosolids & Land Application/Site Info.pdf,,none,none,
